word,count
the,20241394
and,18119073
to,12648779
a,11477728
was,9436735
he,7956480
she,7699886
they,6755347
it,6687567
her,4922061
said,3596545
in,3221601
you,3213271
his,3162434
with,3105773
lily,2842181
that,2774052
so,2719042
of,2679131
day,2670468
but,2567012
had,2396845
on,2319338
mom,2267655
one,2055864
for,1999255
there,1891195
very,1884562
little,1838053
time,1812836
i,1759591
happy,1734583
is,1695768
not,1645933
big,1645910
saw,1642704
were,1465881
once,1464750
play,1446523
are,1327535
wanted,1282740
upon,1270680
their,1259454
him,1251401
girl,1247357
them,1233516
be,1161525
have,1154724
can,1149890
at,1148398
up,1147390
tom,1114308
ben,1093869
go,1082769
went,1063159
all,1038377
friends,1000631
when,987454
we,978665
from,949931
what,940558
then,922115
back,901924
smiled,886456
named,882811
too,880034
loved,862727
asked,850691
like,846160
could,831197
felt,830930
fun,828550
looked,825643
around,820091
out,797539
do,791223
timmy,790746
help,761118
boy,750219
would,740794
see,740259
as,739764
some,739099
did,733183
make,711290
mommy,711231
together,699690
away,697779
says,689584
started,687134
ran,684173
something,669978
want,667770
made,667361
park,652440
sad,623456
new,614870
home,603331
again,594998
found,593528
who,585578
put,584134
bird,572369
tim,571803
playing,570814
things,550660
other,548720
liked,541693
no,536704
got,534692
excited,529631
dad,524801
decided,522864
came,519156
look,514281
this,508507
friend,507812
scared,507117
down,498659
man,494490
your,492247
an,491918
will,485820
good,483119
my,480701
me,477261
find,471842
get,469677
sam,469194
dog,467133
always,463222
anna,462366
took,457682
about,457645
max,452462
toys,451795
didn't,450289
outside,445804
tree,440022
more,438683
how,430760
old,430133
thought,422664
it's,421153
take,417368
special,412984
inside,408414
knew,408036
sorry,405940
every,403047
let's,397709
don't,395167
suddenly,394677
just,393526
car,393277
toy,393224
if,386031
much,375949
know,374510
after,370530
house,366412
yes,362487
jack,356597
into,355462
tried,355089
told,351462
each,350200
gave,346315
heard,345872
never,345332
ball,341528
water,340720
over,335222
couldn't,332981
come,332803
played,331495
room,331019
proud,329647
because,327450
hugged,327008
sara,317132
i'm,317084
mia,316941
many,316317
now,312106
bear,307005
nice,303522
box,301035
until,294158
small,289764
soon,289499
thank,289334
learned,287669
everyone,285616
better,284748
even,282260
best,278378
end,271874
careful,267755
off,267596
eat,267275
garden,265211
thanked,264273
sky,263722
laughed,263171
by,262524
cat,258465
say,256337
its,255875
lots,251830
beautiful,251511
love,251408
still,250276
long,250243
animals,248243
both,242879
kind,242769
way,237023
two,236493
safe,234852
red,230825
feel,230107
lived,229106
okay,227825
lily's,226597
spot,225991
walked,225931
or,222937
hard,222722
angry,222100
people,221053
try,220611
flew,220408
called,219944
family,219304
loud,219218
sun,218597
brave,217120
hurt,217048
bad,216832
lucy,215739
kept,215503
sure,214757
before,214413
share,213869
while,212980
going,210175
pretty,208689
next,205447
why,204842
give,203603
noise,203163
opened,202752
shiny,202629
should,200847
john,200129
run,199098
explore,196979
